,date,rating,total_song_count
449,1990-10-14,,
450,1990-10-17,3.0,22.0
451,1990-10-18,3.7778,22.0
452,1990-10-19,3.5714,18.0
453,1990-10-20,3.1429,22.0
454,1990-10-22,3.8,17.0
455,1990-10-25,3.5714,14.0
456,1990-10-26,3.5,6.0
457,1990-10-27,3.1667,23.0
458,1990-10-30,3.8182,29.0
459,1990-10-31,4.2083,27.0
460,1990-11-02,4.3939,25.0
461,1990-11-03,4.1053,27.0
462,1990-11-04,4.1786,25.0
463,1990-11-06,4.1667,18.0
464,1990-11-08,3.6,22.0
465,1990-11-09,3.4,8.0
466,1990-11-10,3.6154,22.0
467,1990-11-15,2.8182,21.0
468,1990-11-16,3.6364,21.0
469,1990-11-17,3.3846,27.0
470,1990-11-24,3.6667,25.0
471,1990-11-26,3.7333,26.0
472,1990-11-28,4.1429,22.0
473,1990-11-30,3.2,24.0
474,1990-12-01,3.0,19.0
475,1990-12-02,3.8,23.0
476,1990-12-07,3.2857,25.0
477,1990-12-08,2.4,25.0
478,1990-12-28,4.1818,26.0
479,1990-12-29,3.9474,22.0
480,1990-12-31,3.0,22.0
481,1991-02-01,3.2381,19.0
482,1991-02-02,3.125,19.0
483,1991-02-03,3.6667,21.0
484,1991-02-04,2.7273,28.0
485,1991-02-07,3.0625,27.0
486,1991-02-08,4.1765,24.0
487,1991-02-09,3.1765,28.0
488,1991-02-14,3.7333,25.0
489,1991-02-15,3.25,27.0
490,1991-02-16,3.2857,28.0
491,1991-02-19,3.2727,26.0
492,1991-02-20,2.8,14.0
493,1991-02-21,2.7857,23.0
494,1991-02-22,2.7273,12.0
495,1991-02-23,,
496,1991-02-26,3.8,27.0
497,1991-02-27,3.6667,22.0
498,1991-02-28,3.3077,24.0
499,1991-03-01,2.7857,27.0
500,1991-03-02,,
501,1991-03-06,2.0,14.0
502,1991-03-07,3.8,14.0
503,1991-03-08,3.9444,13.0
504,1991-03-09,3.3529,24.0
505,1991-03-13,3.6818,25.0
506,1991-03-14,,
507,1991-03-15,3.3333,23.0
508,1991-03-16,3.96,26.0
509,1991-03-17,3.7917,22.0
510,1991-03-19,,
511,1991-03-22,3.2308,28.0
512,1991-03-23,3.5,23.0
513,1991-03-25,,
514,1991-03-28,3.0625,18.0
515,1991-03-29,3.1667,21.0
516,1991-03-31,4.0,23.0
517,1991-04-02,3.3077,20.0
518,1991-04-03,3.3333,23.0
519,1991-04-04,3.5,26.0
520,1991-04-05,3.2941,23.0
521,1991-04-06,3.9655,26.0
522,1991-04-11,3.5,31.0
523,1991-04-12,3.8824,22.0
524,1991-04-13,2.0,15.0
525,1991-04-15,3.3636,23.0
526,1991-04-16,3.1111,24.0
527,1991-04-18,3.4444,21.0
528,1991-04-19,2.5455,24.0
529,1991-04-20,3.1667,28.0
530,1991-04-21,3.2222,24.0
531,1991-04-22,2.8,23.0
532,1991-04-25,3.3077,24.0
533,1991-04-26,3.5,20.0
534,1991-04-27,3.75,27.0
535,1991-05-02,3.8824,23.0
536,1991-05-03,3.7619,23.0
537,1991-05-04,3.3,23.0
538,1991-05-09,3.4167,20.0
539,1991-05-10,3.6875,25.0
540,1991-05-11,3.1,19.0
541,1991-05-12,3.7857,25.0
542,1991-05-16,3.2308,21.0
543,1991-05-17,4.1579,33.0
544,1991-05-18,2.8462,23.0
545,1991-05-19,3.5385,19.0
546,1991-07-11,4.2195,22.0
547,1991-07-12,4.5098,30.0
548,1991-07-13,3.7826,27.0
549,1991-07-14,4.3333,34.0
550,1991-07-15,3.3043,19.0
551,1991-07-16,,
552,1991-07-18,3.0667,22.0
553,1991-07-19,4.2245,20.0
554,1991-07-20,4.0769,23.0
555,1991-07-21,4.3636,24.0
556,1991-07-23,3.95,24.0
557,1991-07-24,4.1818,22.0
558,1991-07-25,3.8235,24.0
559,1991-07-26,4.2273,27.0
560,1991-07-27,3.5625,19.0
561,1991-08-03,4.4923,34.0
562,1991-09-01,1.3333,0.0
563,1991-09-25,3.9375,21.0
564,1991-09-26,3.5625,24.0
565,1991-09-27,3.8,22.0
566,1991-09-28,3.8824,25.0
567,1991-09-29,3.125,22.0
568,1991-09-30,3.4667,23.0
569,1991-10-02,2.5455,23.0
570,1991-10-03,2.5,25.0
571,1991-10-04,3.3,29.0
572,1991-10-05,,
573,1991-10-06,3.5714,28.0
574,1991-10-10,3.8571,27.0
575,1991-10-11,3.2727,21.0
576,1991-10-12,3.4118,25.0
577,1991-10-13,4.24,27.0
578,1991-10-15,3.5625,26.0
579,1991-10-17,3.1429,21.0
580,1991-10-18,3.75,24.0
581,1991-10-19,3.3571,23.0
582,1991-10-23,2.7778,24.0
583,1991-10-24,4.2,28.0
584,1991-10-26,3.0,23.0
585,1991-10-27,3.7222,27.0
586,1991-10-28,4.0,26.0
587,1991-10-30,2.625,23.0
588,1991-10-31,4.0526,27.0
589,1991-11-01,3.6471,28.0
590,1991-11-02,3.6429,23.0
591,1991-11-04,,
592,1991-11-05,,
593,1991-11-07,4.3333,27.0
594,1991-11-08,4.3182,27.0
595,1991-11-09,3.6667,25.0
596,1991-11-10,2.5714,27.0
597,1991-11-12,3.25,30.0
598,1991-11-13,3.9167,25.0
599,1991-11-14,4.0,27.0
600,1991-11-15,4.2143,30.0
601,1991-11-16,3.7895,24.0
602,1991-11-19,3.7,26.0
603,1991-11-20,3.4118,23.0
604,1991-11-21,4.1538,25.0
605,1991-11-22,3.2857,23.0
606,1991-11-23,3.6429,28.0
607,1991-11-24,4.2857,20.0
608,1991-11-30,4.2,23.0
609,1991-12-04,2.75,26.0
610,1991-12-05,2.9231,25.0
611,1991-12-06,3.0625,26.0
612,1991-12-07,3.8333,23.0
613,1991-12-31,4.4375,30.0
614,1992-01-14,1.9167,12.0
615,1992-03-06,4.234,21.0
616,1992-03-07,4.0741,26.0
617,1992-03-11,2.7917,27.0
618,1992-03-12,3.15,27.0
619,1992-03-13,4.4706,29.0
620,1992-03-14,3.7838,27.0
621,1992-03-17,3.45,26.0
622,1992-03-19,3.6818,27.0
623,1992-03-20,4.4737,27.0
624,1992-03-21,3.6923,27.0
625,1992-03-22,2.3077,4.0
626,1992-03-24,4.0303,28.0
627,1992-03-25,3.4091,26.0
628,1992-03-26,3.96,28.0
629,1992-03-27,3.2857,27.0
630,1992-03-28,3.6538,18.0
631,1992-03-30,3.6842,29.0
632,1992-03-31,3.5,27.0
633,1992-04-01,2.9231,29.0
634,1992-04-03,3.6111,21.0
635,1992-04-04,3.25,27.0
636,1992-04-05,3.5667,27.0
637,1992-04-06,4.1333,26.0
638,1992-04-07,3.6316,27.0
639,1992-04-08,3.7143,30.0
640,1992-04-12,3.1333,26.0
641,1992-04-13,3.6667,26.0
642,1992-04-15,3.3846,24.0
643,1992-04-16,4.4902,29.0
644,1992-04-17,4.4091,24.0
645,1992-04-18,4.4545,34.0
646,1992-04-19,4.0909,28.0
647,1992-04-21,4.4833,30.0
648,1992-04-22,3.6667,29.0
649,1992-04-23,2.875,28.0
650,1992-04-24,3.92,29.0
651,1992-04-25,3.8421,27.0
652,1992-04-29,3.3529,27.0
653,1992-04-30,4.1333,25.0
654,1992-05-01,3.25,30.0
655,1992-05-02,3.5909,26.0
656,1992-05-03,3.2,30.0
657,1992-05-05,3.3333,29.0
658,1992-05-06,4.2857,27.0
659,1992-05-07,3.1875,27.0
660,1992-05-08,3.9231,27.0
661,1992-05-09,3.96,23.0
662,1992-05-10,3.1176,10.0
663,1992-05-12,3.0,24.0
664,1992-05-14,4.2692,33.0
665,1992-05-15,1.5,13.0
666,1992-05-16,3.2105,28.0
667,1992-05-17,4.431,26.0
668,1992-05-18,3.3571,26.0
669,1992-06-19,3.0833,7.0
670,1992-06-20,2.3846,10.0
671,1992-06-23,2.8,8.0
672,1992-06-24,2.3333,9.0
673,1992-06-28,3.1667,12.0
674,1992-06-30,1.25,6.0
675,1992-07-01,1.25,7.0
676,1992-07-03,2.0,10.0
677,1992-07-09,3.2857,14.0
678,1992-07-10,2.1,12.0
679,1992-07-11,2.75,11.0
680,1992-07-12,3.0,11.0
681,1992-07-14,2.0556,24.0
682,1992-07-15,4.2083,24.0
683,1992-07-16,3.8,26.0
684,1992-07-17,2.8889,7.0
685,1992-07-18,2.5,6.0
686,1992-07-19,2.8571,5.0
687,1992-07-21,3.5882,7.0
688,1992-07-22,2.3333,7.0
689,1992-07-23,3.25,10.0
690,1992-07-24,4.0,6.0
691,1992-07-25,4.3962,8.0
692,1992-07-26,3.125,7.0
693,1992-07-27,3.0,8.0
694,1992-07-28,2.0,6.0
695,1992-07-30,2.1111,8.0
696,1992-07-31,3.0,6.0
697,1992-08-01,3.4286,8.0
698,1992-08-02,2.8333,9.0
699,1992-08-13,3.1333,3.0
700,1992-08-14,2.8571,5.0
701,1992-08-15,3.1333,5.0
702,1992-08-17,4.04,26.0
703,1992-08-19,2.0,7.0
704,1992-08-20,2.6,6.0
705,1992-08-23,3.0,8.0
706,1992-08-24,3.625,7.0
707,1992-08-25,2.375,7.0
708,1992-08-27,2.6667,7.0
709,1992-08-28,3.2,7.0
710,1992-08-29,3.4118,5.0
711,1992-08-30,3.8889,7.0
712,1992-10-30,3.8696,11.0
713,1992-11-19,4.4713,30.0
714,1992-11-20,4.3913,26.0
715,1992-11-21,4.1212,30.0
716,1992-11-22,4.3158,25.0
717,1992-11-23,4.0833,30.0
718,1992-11-25,3.619,25.0
719,1992-11-27,4.3,26.0
720,1992-11-28,4.2703,27.0
721,1992-11-30,3.6,25.0
722,1992-12-01,3.907,27.0
723,1992-12-02,3.3571,25.0
724,1992-12-03,4.0952,28.0
725,1992-12-04,3.8182,25.0
726,1992-12-05,4.3077,29.0
727,1992-12-06,4.1364,26.0
728,1992-12-07,3.8,27.0
729,1992-12-08,3.1333,29.0
730,1992-12-10,3.6471,28.0
731,1992-12-11,4.0,27.0
732,1992-12-12,4.4545,25.0
733,1992-12-13,3.7895,29.0
734,1992-12-28,3.7647,24.0
735,1992-12-29,4.16,32.0
736,1992-12-30,4.3143,30.0
737,1992-12-31,4.3684,32.0
738,1993-01-28,4.2,1.0
739,1993-02-03,4.2564,27.0
740,1993-02-04,3.7368,28.0
741,1993-02-05,3.92,26.0
742,1993-02-06,3.8333,27.0
743,1993-02-07,3.9333,26.0
744,1993-02-09,3.48,25.0
745,1993-02-10,3.05,27.0
746,1993-02-11,3.3333,26.0
747,1993-02-12,4.3256,26.0
748,1993-02-13,3.6071,25.0
749,1993-02-15,3.3125,27.0
750,1993-02-17,3.2778,26.0
751,1993-02-18,3.9615,22.0
752,1993-02-19,4.2963,28.0
753,1993-02-20,4.5093,37.0
754,1993-02-21,4.1857,26.0
755,1993-02-22,3.069,27.0
756,1993-02-23,3.4091,28.0
757,1993-02-25,3.8966,26.0
758,1993-02-26,3.5714,25.0
759,1993-02-27,3.4231,27.0
760,1993-03-02,3.88,29.0
761,1993-03-03,3.6,26.0
762,1993-03-05,4.0,27.0
763,1993-03-06,3.2105,24.0
764,1993-03-08,3.7,26.0
765,1993-03-09,4.1613,29.0
766,1993-03-12,3.9032,26.0
767,1993-03-13,4.1667,29.0
768,1993-03-14,4.3214,25.0
769,1993-03-16,3.4545,33.0
770,1993-03-17,3.4231,27.0
771,1993-03-18,3.6,24.0
772,1993-03-19,3.9231,23.0
773,1993-03-21,3.4839,28.0
774,1993-03-22,4.5,25.0
775,1993-03-24,3.6,29.0
776,1993-03-25,4.1,28.0
777,1993-03-26,3.8077,25.0
778,1993-03-27,4.2353,28.0
779,1993-03-28,4.1471,26.0
780,1993-03-30,4.3333,30.0
781,1993-03-31,3.8077,22.0
782,1993-04-01,3.8333,24.0
783,1993-04-02,3.52,27.0
784,1993-04-03,4.2593,23.0
785,1993-04-05,3.3529,23.0
786,1993-04-07,,
787,1993-04-09,3.7619,26.0
788,1993-04-10,3.9167,25.0
789,1993-04-12,3.7586,27.0
790,1993-04-13,3.619,25.0
791,1993-04-14,4.254,27.0
792,1993-04-16,3.7857,27.0
793,1993-04-17,4.0909,25.0
794,1993-04-18,4.125,26.0
795,1993-04-20,3.8889,26.0
796,1993-04-21,4.0,24.0
797,1993-04-22,3.5333,26.0
798,1993-04-23,3.7742,25.0
799,1993-04-24,3.2381,25.0
800,1993-04-25,4.12,25.0
801,1993-04-27,3.7368,25.0
802,1993-04-29,4.1034,27.0
803,1993-04-30,3.1,27.0
804,1993-05-01,3.6471,23.0
805,1993-05-02,3.6774,25.0
806,1993-05-03,4.3684,33.0
807,1993-05-05,4.4746,24.0
808,1993-05-06,4.4118,29.0
809,1993-05-07,3.7857,22.0
810,1993-05-08,4.5027,31.0
811,1993-05-29,3.3684,14.0
812,1993-05-30,3.5789,14.0
813,1993-07-15,4.0606,23.0
814,1993-07-16,3.9048,25.0
815,1993-07-17,3.6667,27.0
816,1993-07-18,3.7037,23.0
817,1993-07-19,,
818,1993-07-21,2.4545,14.0
819,1993-07-22,3.1364,23.0
820,1993-07-23,3.8857,25.0
821,1993-07-24,4.2,25.0
822,1993-07-25,4.0682,25.0
823,1993-07-27,3.2308,9.0
824,1993-07-28,3.4615,24.0
825,1993-07-29,3.3333,22.0
826,1993-07-30,4.1176,22.0
827,1993-07-31,3.8125,23.0
828,1993-08-02,4.3793,25.0
829,1993-08-03,2.9231,23.0
830,1993-08-06,4.125,25.0
831,1993-08-07,4.4737,25.0
832,1993-08-08,4.1304,26.0
833,1993-08-09,3.8919,20.0
834,1993-08-11,4.1087,22.0
835,1993-08-12,4.44,24.0
836,1993-08-13,4.5,20.0
837,1993-08-14,4.5635,26.0
838,1993-08-15,4.4865,22.0
839,1993-08-16,4.4804,21.0
840,1993-08-17,4.4194,22.0
841,1993-08-20,4.4862,22.0
842,1993-08-21,4.4583,27.0
843,1993-08-24,4.3478,27.0
844,1993-08-25,4.2558,22.0
845,1993-08-26,4.514,20.0
846,1993-08-28,4.4805,26.0
847,1993-12-28,3.8095,21.0
848,1993-12-29,3.8276,24.0
849,1993-12-30,4.5,22.0
850,1993-12-31,4.6148,29.0
851,1994-04-04,4.1268,22.0
852,1994-04-05,3.5111,19.0
853,1994-04-06,3.7273,21.0
854,1994-04-08,4.0484,24.0
855,1994-04-09,4.137,23.0
