city,country,date,day,encore2_song_count,encore_song_count,month,rating,relative_date,set1_song_count,set2_song_count,set3_song_count,state,total_song_count,venue,year
Shelburne,USA,1986-12-06,6,0.0,0.0,12,3.9091,32 years ago,5.0,14.0,13.0,VT,32.0,"<a href=""http://phish.net/venue/65/The_Ranch"">The Ranch</a>",1986
,,1987-01-19,19,,,1,,,,,,,,,1987
Burlington,USA,1987-01-21,21,0.0,0.0,1,4.0,32 years ago,1.0,8.0,0.0,VT,9.0,"<a href=""http://phish.net/venue/10/Hunt%27s"">Hunt's</a>",1987
,,1987-02-01,1,,,2,,,,,,,,,1987
,,1987-02-02,2,,,2,,,,,,,,,1987
,,1987-02-07,7,,,2,,,,,,,,,1987
Johnson,USA,1987-02-13,13,0.0,0.0,2,2.375,32 years ago,11.0,5.0,0.0,VT,16.0,"<a href=""http://phish.net/venue/433/Johnson_State_College"">Johnson State College</a>",1987
Burlington,USA,1987-02-21,21,0.0,0.0,2,2.9286,32 years ago,1.0,18.0,0.0,VT,19.0,"<a href=""http://phish.net/venue/246/Slade_Hall%2C_University_of_Vermont"">Slade Hall, University of Vermont</a>",1987
,,1987-02-27,27,,,2,,,,,,,,,1987
Plainfield,USA,1987-03-06,6,0.0,1.0,3,3.4706,32 years ago,6.0,7.0,0.0,VT,14.0,"<a href=""http://phish.net/venue/347/Goddard_College"">Goddard College</a>",1987
,,1987-03-22,22,,,3,,,,,,,,,1987
Burlington,USA,1987-03-23,23,0.0,0.0,3,3.3846,32 years ago,7.0,9.0,0.0,VT,16.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1987
Burlington,USA,1987-04-24,24,0.0,0.0,4,3.0526,32 years ago,15.0,0.0,0.0,VT,15.0,"<a href=""http://phish.net/venue/434/Billings_Lounge%2C_University_of_Vermont"">Billings Lounge, UVM</a>",1987
,,1987-04-28,28,,,4,,,,,,,,,1987
Burlington,USA,1987-04-29,29,0.0,1.0,4,4.1739,32 years ago,10.0,7.0,15.0,VT,33.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1987
,,1987-05-10,10,,,5,,,,,,,,,1987
Burlington,USA,1987-05-11,11,0.0,3.0,5,3.1429,32 years ago,12.0,7.0,0.0,VT,22.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1987
,,1987-05-12,12,,,5,,,,,,,,,1987
,,1987-05-16,16,,,5,,,,,,,,,1987
South Burlington,USA,1987-05-20,20,0.0,0.0,5,3.9375,32 years ago,9.0,1.0,0.0,VT,10.0,"<a href=""http://phish.net/venue/428/The_Ranch"">The Ranch</a>",1987
Burlington,USA,1987-08-09,9,0.0,0.0,8,3.1,32 years ago,11.0,11.0,7.0,VT,29.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1987
Burlington,USA,1987-08-10,10,0.0,0.0,8,3.1,32 years ago,9.0,10.0,7.0,VT,26.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1987
Hebron,USA,1987-08-21,21,0.0,0.0,8,4.4717,32 years ago,11.0,13.0,7.0,NY,31.0,"<a href=""http://phish.net/venue/431/Ian_McLean%27s_Farm"">Ian McLean's Farm</a>",1987
,,1987-08-22,22,,,8,,,,,,,,,1987
South Burlington,USA,1987-08-29,29,0.0,1.0,8,4.25,32 years ago,17.0,13.0,8.0,VT,39.0,"<a href=""http://phish.net/venue/428/The_Ranch"">The Ranch</a>",1987
Burlington,USA,1987-09-02,2,0.0,0.0,9,2.0833,32 years ago,13.0,0.0,0.0,VT,13.0,"<a href=""http://phish.net/venue/10/Hunt%27s"">Hunt's</a>",1987
,,1987-09-03,3,,,9,,,,,,,,,1987
,,1987-09-04,4,,,9,,,,,,,,,1987
,,1987-09-19,19,,,9,,,,,,,,,1987
,,1987-09-20,20,,,9,,,,,,,,,1987
Burlington,USA,1987-09-21,21,0.0,0.0,9,3.0833,32 years ago,11.0,7.0,15.0,VT,33.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1987
,,1987-09-27,27,,,9,,,,,,,,,1987
Shelburne,USA,1987-10-10,10,0.0,0.0,10,1.0,32 years ago,0.0,2.0,0.0,VT,2.0,"<a href=""http://phish.net/venue/65/The_Ranch"">The Ranch</a>",1987
Burlington,USA,1987-10-14,14,0.0,0.0,10,2.1111,32 years ago,9.0,6.0,0.0,VT,15.0,"<a href=""http://phish.net/venue/10/Hunt%27s"">Hunt's</a>",1987
,,1987-10-18,18,,,10,,,,,,,,,1987
,,1987-10-19,19,,,10,,,,,,,,,1987
,,1987-10-21,21,,,10,,,,,,,,,1987
,,1987-10-23,23,,,10,,,,,,,,,1987
,,1987-10-24,24,,,10,,,,,,,,,1987
Plainfield,USA,1987-10-31,31,0.0,0.0,10,4.0417,32 years ago,11.0,19.0,0.0,VT,30.0,"<a href=""http://phish.net/venue/426/Sculpture_Room%2C_Goddard_College"">Sculpture Room, Goddard College</a>",1987
,,1987-11-15,15,,,11,,,,,,,,,1987
,,1987-11-16,16,,,11,,,,,,,,,1987
,,1987-11-17,17,,,11,,,,,,,,,1987
Burlington,USA,1987-11-18,18,0.0,0.0,11,2.6364,31 years ago,14.0,4.0,0.0,VT,18.0,"<a href=""http://phish.net/venue/10/Hunt%27s"">Hunt's</a>",1987
Burlington,USA,1987-11-19,19,0.0,0.0,11,4.0,31 years ago,7.0,8.0,14.0,VT,29.0,"<a href=""http://phish.net/venue/10/Hunt%27s"">Hunt's</a>",1987
,,1987-11-21,21,,,11,,,,,,,,,1987
,,1987-11-22,22,,,11,,,,,,,,,1987
,,1987-11-23,23,,,11,,,,,,,,,1987
Waitsfield,USA,1988-01-27,27,0.0,0.0,1,3.0,31 years ago,11.0,10.0,8.0,VT,29.0,"<a href=""http://phish.net/venue/13/Gallagher%27s"">Gallagher's</a>",1988
Waitsfield,USA,1988-02-03,3,0.0,0.0,2,2.0,31 years ago,1.0,5.0,0.0,VT,6.0,"<a href=""http://phish.net/venue/13/Gallagher%27s"">Gallagher's</a>",1988
Burlington,USA,1988-02-07,7,0.0,0.0,2,3.2727,31 years ago,12.0,9.0,9.0,VT,30.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
Burlington,USA,1988-02-08,8,0.0,0.0,2,2.8462,31 years ago,7.0,6.0,11.0,VT,24.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
,,1988-02-10,10,,,2,,,,,,,,,1988
Canton,USA,1988-02-20,20,0.0,1.0,2,3.3571,31 years ago,9.0,10.0,0.0,NY,20.0,"<a href=""http://phish.net/venue/166/St._Lawrence_University"">St. Lawrence University</a>",1988
Waitsfield,USA,1988-02-24,24,0.0,0.0,2,2.1111,31 years ago,13.0,5.0,0.0,VT,18.0,"<a href=""http://phish.net/venue/13/Gallagher%27s"">Gallagher's</a>",1988
Burlington,USA,1988-02-26,26,0.0,0.0,2,1.875,31 years ago,10.0,14.0,0.0,VT,24.0,"<a href=""http://phish.net/venue/450/Living_and_Learning_Center%2C_University_of_Vermont"">Living and Learning Center, University of Vermont</a>",1988
,,1988-03-09,9,,,3,,,,,,,,,1988
Johnson,USA,1988-03-11,11,0.0,0.0,3,4.1538,31 years ago,12.0,8.0,0.0,VT,20.0,"<a href=""http://phish.net/venue/461/The_Base_Lodge%2C_Stearns_Hall%2C_Johnson_State_College"">The Base Lodge, Stearns Hall, Johnson State College</a>",1988
Burlington,USA,1988-03-12,12,0.0,0.0,3,4.0313,31 years ago,11.0,0.0,0.0,VT,11.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
,,1988-03-20,20,,,3,,,,,,,,,1988
Burlington,USA,1988-03-21,21,0.0,0.0,3,2.1111,31 years ago,8.0,8.0,0.0,VT,16.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
Burlington,USA,1988-03-22,22,0.0,0.0,3,3.1,31 years ago,15.0,0.0,0.0,VT,15.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
New York,USA,1988-03-31,31,0.0,0.0,3,1.3333,31 years ago,14.0,0.0,0.0,NY,14.0,"<a href=""http://phish.net/venue/467/Kenny%27s_Castaways"">Kenny's Castaways</a>",1988
Amherst,USA,1988-04-02,2,0.0,0.0,4,2.0,31 years ago,2.0,0.0,0.0,MA,2.0,"<a href=""http://phish.net/venue/468/Humphries_House_%28The_Zoo%29%2C_Amherst_College"">Humphries House (The Zoo), Amherst College</a>",1988
,,1988-04-06,6,,,4,,,,,,,,,1988
,,1988-04-17,17,,,4,,,,,,,,,1988
,,1988-04-18,18,,,4,,,,,,,,,1988
,,1988-04-19,19,,,4,,,,,,,,,1988
Burlington,USA,1988-04-22,22,0.0,0.0,4,3.0,31 years ago,13.0,7.0,0.0,VT,20.0,"<a href=""http://phish.net/venue/348/University_of_Vermont"">University of Vermont</a>",1988
,,1988-04-27,27,,,4,,,,,,,,,1988
,,1988-04-30,30,,,4,,,,,,,,,1988
,,1988-05-01,1,,,5,,,,,,,,,1988
,,1988-05-02,2,,,5,,,,,,,,,1988
,,1988-05-03,3,,,5,,,,,,,,,1988
,,1988-05-05,5,,,5,,,,,,,,,1988
,,1988-05-08,8,,,5,,,,,,,,,1988
,,1988-05-12,12,,,5,,,,,,,,,1988
Plainfield,USA,1988-05-14,14,0.0,0.0,5,2.5,31 years ago,13.0,0.0,0.0,VT,13.0,"<a href=""http://phish.net/venue/347/Goddard_College"">Goddard College</a>",1988
Hinesburg,USA,1988-05-15,15,0.0,1.0,5,3.3571,31 years ago,13.0,11.0,0.0,VT,25.0,"<a href=""http://phish.net/venue/473/Beecher_Hill_Farm"">Beecher Hill Farm</a>",1988
Burlington,USA,1988-05-21,21,0.0,0.0,5,3.5714,31 years ago,9.0,9.0,6.0,VT,24.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
,,1988-05-22,22,,,5,,,,,,,,,1988
Burlington,USA,1988-05-23,23,0.0,0.0,5,2.3636,31 years ago,9.0,0.0,0.0,VT,9.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
Burlington,USA,1988-05-24,24,0.0,0.0,5,4.3953,31 years ago,11.0,3.0,12.0,VT,26.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
,,1988-05-27,27,,,5,,,,,,,,,1988
,,1988-05-28,28,,,5,,,,,,,,,1988
,,1988-06-03,3,,,6,,,,,,,,,1988
,,1988-06-04,4,,,6,,,,,,,,,1988
Burlington,USA,1988-06-15,15,0.0,0.0,6,2.4286,31 years ago,10.0,13.0,0.0,VT,23.0,"<a href=""http://phish.net/venue/21/The_Front"">The Front</a>",1988
,,1988-06-17,17,,,6,,,,,,,,,1988
Burlington,USA,1988-06-19,19,0.0,1.0,6,2.3333,31 years ago,8.0,9.0,5.0,VT,23.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
Burlington,USA,1988-06-20,20,0.0,0.0,6,3.5833,31 years ago,6.0,5.0,9.0,VT,20.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
Burlington,USA,1988-06-21,21,0.0,0.0,6,2.8182,31 years ago,8.0,10.0,3.0,VT,21.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
,,1988-06-23,23,,,6,,,,,,,,,1988
Burlington,USA,1988-06-24,24,0.0,0.0,6,1.75,31 years ago,7.0,0.0,0.0,VT,7.0,"<a href=""http://phish.net/venue/492/Halverson%27s"">Halverson's</a>",1988
,,1988-06-27,27,,,6,,,,,,,,,1988
Burlington,USA,1988-07-07,7,0.0,0.0,7,3.75,31 years ago,8.0,4.0,0.0,VT,12.0,"<a href=""http://phish.net/venue/21/The_Front"">The Front</a>",1988
,,1988-07-08,8,,,7,,,,,,,,,1988
Burlington,USA,1988-07-11,11,0.0,2.0,7,1.9,31 years ago,12.0,0.0,0.0,VT,14.0,"<a href=""http://phish.net/venue/504/Sam%27s_Tavern"">Sam's Tavern</a>",1988
Burlington,USA,1988-07-12,12,0.0,0.0,7,3.1429,31 years ago,8.0,9.0,0.0,VT,17.0,"<a href=""http://phish.net/venue/504/Sam%27s_Tavern"">Sam's Tavern</a>",1988
Underhill,USA,1988-07-23,23,0.0,0.0,7,4.4762,31 years ago,15.0,13.0,7.0,VT,35.0,"<a href=""http://phish.net/venue/614/Pete%27s_Phabulous_Phish_Phest"">Pete's Phabulous Phish Phest</a>",1988
Burlington,USA,1988-07-24,24,0.0,0.0,7,3.7778,31 years ago,10.0,10.0,6.0,VT,26.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
Burlington,USA,1988-07-25,25,0.0,2.0,7,3.8125,31 years ago,6.0,4.0,0.0,VT,12.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
Telluride,USA,1988-07-28,28,0.0,0.0,7,1.0,31 years ago,0.0,8.0,0.0,CO,8.0,"<a href=""http://phish.net/venue/617/The_Roma"">The Roma</a>",1988
Telluride,USA,1988-07-29,29,0.0,0.0,7,3.9375,31 years ago,6.0,10.0,8.0,CO,24.0,"<a href=""http://phish.net/venue/617/The_Roma"">The Roma</a>",1988
Telluride,USA,1988-07-30,30,0.0,1.0,7,3.8889,31 years ago,2.0,6.0,8.0,CO,22.0,"<a href=""http://phish.net/venue/617/The_Roma"">The Roma</a>",1988
Telluride,USA,1988-08-03,3,0.0,0.0,8,3.9091,31 years ago,6.0,10.0,8.0,CO,24.0,"<a href=""http://phish.net/venue/60/Fly_Me_to_the_Moon_Saloon"">Fly Me to the Moon Saloon</a>",1988
Telluride,USA,1988-08-04,4,0.0,1.0,8,3.9091,31 years ago,14.0,11.0,6.0,CO,32.0,"<a href=""http://phish.net/venue/617/The_Roma"">The Roma</a>",1988
Telluride,USA,1988-08-05,5,0.0,1.0,8,3.6667,31 years ago,9.0,10.0,7.0,CO,27.0,"<a href=""http://phish.net/venue/617/The_Roma"">The Roma</a>",1988
,,1988-08-06,6,,,8,,,,,,,,,1988
,,1988-08-09,9,,,8,,,,,,,,,1988
,,1988-08-11,11,,,8,,,,,,,,,1988
,,1988-08-12,12,,,8,,,,,,,,,1988
Burlington,USA,1988-08-13,13,0.0,0.0,8,3.0,31 years ago,11.0,7.0,0.0,VT,18.0,"<a href=""http://phish.net/venue/21/The_Front"">The Front</a>",1988
,,1988-08-17,17,,,8,,,,,,,,,1988
,,1988-08-18,18,,,8,,,,,,,,,1988
,,1988-08-21,21,,,8,,,,,,,,,1988
Burlington,USA,1988-08-22,22,0.0,0.0,8,3.6,31 years ago,11.0,0.0,0.0,VT,11.0,"<a href=""http://phish.net/venue/2/Nectar%27s"">Nectar's</a>",1988
,,1988-08-24,24,,,8,,,,,,,,,1988
,,1988-08-25,25,,,8,,,,,,,,,1988
Mont Alto,USA,1988-08-27,27,0.0,0.0,8,3.2,31 years ago,11.0,0.0,0.0,PA,11.0,"<a href=""http://phish.net/venue/623/Food_Court%2C_Mont_Alto_Campus%2C_Penn_State_University"">Food Court, Mont Alto Campus, Penn State University</a>",1988
,,1988-08-29,29,,,8,,,,,,,,,1988
,,1988-08-30,30,,,8,,,,,,,,,1988
Burlington,USA,1988-09-08,8,0.0,0.0,9,4.0,31 years ago,8.0,8.0,0.0,VT,16.0,"<a href=""http://phish.net/venue/21/The_Front"">The Front</a>",1988
,,1988-09-09,9,,,9,,,,,,,,,1988
,,1988-09-10,10,,,9,,,,,,,,,1988
Burlington,USA,1988-09-12,12,0.0,0.0,9,3.0,31 years ago,4.0,10.0,0.0,VT,14.0,"<a href=""http://phish.net/venue/504/Sam%27s_Tavern"">Sam's Tavern</a>",1988
Burlington,USA,1988-09-13,13,0.0,0.0,9,3.3,31 years ago,8.0,7.0,8.0,VT,23.0,"<a href=""http://phish.net/venue/504/Sam%27s_Tavern"">Sam's Tavern</a>",1988
,,1988-09-16,16,,,9,,,,,,,,,1988
Binghamton,USA,1988-09-22,22,0.0,0.0,9,3.0,31 years ago,5.0,0.0,0.0,NY,5.0,"<a href=""http://phish.net/venue/628/Campus_Pub%2C_Binghamton_College"">Campus Pub</a>",1988
Amherst,USA,1988-09-24,24,0.0,0.0,9,4.3659,31 years ago,12.0,7.0,7.0,MA,26.0,"<a href=""http://phish.net/venue/468/Humphries_House_%28The_Zoo%29%2C_Amherst_College"">Humphries House (The Zoo), Amherst College</a>",1988
,,1988-10-28,28,,,10,,,,,,,,,1988
Plainfield,USA,1988-10-29,29,0.0,0.0,10,4.0,31 years ago,9.0,12.0,13.0,VT,34.0,"<a href=""http://phish.net/venue/426/Sculpture_Room%2C_Goddard_College"">Sculpture Room, Goddard College</a>",1988
Boston,USA,1988-11-03,3,0.0,0.0,11,3.4,31 years ago,9.0,9.0,6.0,MA,24.0,"<a href=""http://phish.net/venue/634/Molly%27s_Cafe"">Molly's Cafe</a>",1988
Clinton,USA,1988-11-04,4,0.0,0.0,11,1.0,31 years ago,1.0,0.0,0.0,NY,1.0,"<a href=""http://phish.net/venue/636/Nardis_Restaurant"">Nardis Restaurant</a>",1988
Clinton,USA,1988-11-05,5,0.0,0.0,11,2.8333,31 years ago,13.0,11.0,4.0,NY,28.0,"<a href=""http://phish.net/venue/323/Hamilton_College"">Hamilton College</a>",1988
Newmarket,USA,1988-11-11,11,0.0,0.0,11,3.375,31 years ago,7.0,6.0,5.0,NH,18.0,"<a href=""http://phish.net/venue/582/Old_Stone_Church"">Old Stone Church</a>",1988
Boston,USA,1988-12-02,2,0.0,0.0,12,2.6,30 years ago,7.0,8.0,0.0,MA,15.0,"<a href=""http://phish.net/venue/634/Molly%27s_Cafe"">Molly's Cafe</a>",1988
Northampton,USA,1988-12-09,9,0.0,0.0,12,1.0,30 years ago,1.0,0.0,0.0,MA,1.0,"<a href=""http://phish.net/venue/581/Sheehan%27s"">Sheehan's</a>",1988
Amherst,USA,1988-12-10,10,0.0,1.0,12,3.0,30 years ago,12.0,9.0,0.0,MA,22.0,"<a href=""http://phish.net/venue/630/The_Red_Barn%2C_Hampshire_College"">The Red Barn, Hampshire College</a>",1988
,,1988-12-11,11,,,12,,,,,,,,,1988
,,1988-12-12,12,,,12,,,,,,,,,1988
,,1988-12-15,15,,,12,,,,,,,,,1988
,,1988-12-16,16,,,12,,,,,,,,,1988
Newmarket,USA,1988-12-17,17,0.0,0.0,12,3.1429,30 years ago,8.0,0.0,0.0,NH,8.0,"<a href=""http://phish.net/venue/582/Old_Stone_Church"">Old Stone Church</a>",1988
Waitsfield,USA,1989-01-18,18,0.0,0.0,1,1.6667,30 years ago,1.0,0.0,0.0,VT,1.0,"<a href=""http://phish.net/venue/13/Gallagher%27s"">Gallagher's</a>",1989
,,1989-01-20,20,,,1,,,,,,,,,1989
,,1989-01-21,21,,,1,,,,,,,,,1989
,,1989-01-25,25,,,1,,,,,,,,,1989
Boston,USA,1989-01-26,26,0.0,2.0,1,4.0,30 years ago,12.0,10.0,0.0,MA,24.0,"<a href=""http://phish.net/venue/33/The_Paradise"">The Paradise</a>",1989
,,1989-01-28,28,,,1,,,,,,,,,1989
,,1989-02-01,1,,,2,,,,,,,,,1989
,,1989-02-05,5,,,2,,,,,,,,,1989
