date,rating,state,total_song_count
1988-04-22,3.0,VT,20.0
1988-04-27,,,
1988-04-30,,,
1988-05-01,,,
1988-05-02,,,
1988-05-03,,,
1988-05-05,,,
1988-05-08,,,
1988-05-12,,,
1988-05-14,2.5,VT,13.0
1988-05-15,3.3571,VT,25.0
1988-05-21,3.5714,VT,24.0
1988-05-22,,,
1988-05-23,2.3636,VT,9.0
1988-05-24,4.3953,VT,26.0
1988-05-27,,,
1988-05-28,,,
1988-06-03,,,
1988-06-04,,,
1988-06-15,2.4286,VT,23.0
1988-06-17,,,
1988-06-19,2.3333,VT,23.0
1988-06-20,3.5833,VT,20.0
1988-06-21,2.8182,VT,21.0
1988-06-23,,,
1988-06-24,1.75,VT,7.0
1988-06-27,,,
1988-07-07,3.75,VT,12.0
1988-07-08,,,
1988-07-11,1.9,VT,14.0
1988-07-12,3.1429,VT,17.0
1988-07-23,4.4762,VT,35.0
1988-07-24,3.7778,VT,26.0
1988-07-25,3.8125,VT,12.0
1988-07-28,1.0,CO,8.0
1988-07-29,3.9375,CO,24.0
1988-07-30,3.8889,CO,22.0
1988-08-03,3.9091,CO,24.0
1988-08-04,3.9091,CO,32.0
1988-08-05,3.6667,CO,27.0
1988-08-06,,,
1988-08-09,,,
1988-08-11,,,
1988-08-12,,,
1988-08-13,3.0,VT,18.0
1988-08-17,,,
1988-08-18,,,
1988-08-21,,,
1988-08-22,3.6,VT,11.0
1988-08-24,,,
1988-08-25,,,
1988-08-27,3.2,PA,11.0
1988-08-29,,,
1988-08-30,,,
1988-09-08,4.0,VT,16.0
1988-09-09,,,
1988-09-10,,,
1988-09-12,3.0,VT,14.0
1988-09-13,3.3,VT,23.0
1988-09-16,,,
1988-09-22,3.0,NY,5.0
1988-09-24,4.3659,MA,26.0
1988-10-28,,,
1988-10-29,4.0,VT,34.0
1988-11-03,3.4,MA,24.0
1988-11-04,1.0,NY,1.0
1988-11-05,2.8333,NY,28.0
1988-11-11,3.375,NH,18.0
1988-12-02,2.6,MA,15.0
1988-12-09,1.0,MA,1.0
1988-12-10,3.0,MA,22.0
1988-12-11,,,
1988-12-12,,,
1988-12-15,,,
1988-12-16,,,
1988-12-17,3.1429,NH,8.0
1989-01-18,1.6667,VT,1.0
1989-01-20,,,
1989-01-21,,,
1989-01-25,,,
1989-01-26,4.0,MA,24.0
1989-01-28,,,
1989-02-01,,,
1989-02-05,,,
1989-02-06,3.8421,VT,24.0
1989-02-07,3.8182,VT,27.0
1989-02-10,,,
1989-02-11,1.0,MA,2.0
1989-02-17,3.75,NH,10.0
1989-02-18,2.1111,NH,22.0
1989-02-23,3.0,VT,2.0
1989-02-24,2.6667,VT,14.0
1989-02-25,,,
1989-03-01,4.1818,VT,29.0
1989-03-03,2.5556,VT,26.0
1989-03-04,3.2,NY,13.0
1989-03-05,3.5,NJ,0.0
1989-03-11,,,
1989-03-12,1.8462,VT,10.0
1989-03-13,2.5,VT,15.0
1989-03-14,2.6364,VT,22.0
1989-03-24,1.0909,MA,10.0
1989-03-25,,,
1989-03-30,2.4444,VT,23.0
1989-03-31,1.0,VT,1.0
1989-04-01,1.0,MA,1.0
1989-04-02,,,
1989-04-07,4.0,NH,2.0
1989-04-13,1.0,VT,4.0
1989-04-14,3.9333,VT,19.0
1989-04-15,2.9,VT,24.0
1989-04-19,1.0,MA,1.0
1989-04-20,4.1538,MA,22.0
1989-04-21,3.6,VT,2.0
1989-04-22,,,
1989-04-27,3.9375,NH,13.0
1989-04-28,,,
1989-04-29,,,
1989-04-30,3.0,MA,10.0
1989-05-01,2.4,MA,22.0
1989-05-03,1.0,PA,4.0
1989-05-05,3.25,NY,14.0
1989-05-06,2.3,NH,21.0
1989-05-07,,,
1989-05-08,,,
1989-05-09,3.5833,VT,23.0
1989-05-11,,,
1989-05-13,3.4167,NY,22.0
1989-05-14,1.0,MA,7.0
1989-05-18,,,
1989-05-19,1.0,RI,2.0
1989-05-20,2.4286,MA,20.0
1989-05-21,2.8,VT,15.0
1989-05-26,4.0,VT,20.0
1989-05-27,2.375,CT,11.0
1989-05-28,4.3421,NY,32.0
1989-05-30,,,
1989-06-03,,,
1989-06-08,,,
1989-06-10,2.9231,RI,7.0
1989-06-14,1.0,VT,0.0
1989-06-16,,,
1989-06-17,,,
1989-06-23,3.7368,MA,20.0
1989-06-29,1.1429,VT,3.0
1989-06-30,3.9375,MA,15.0
1989-07-01,3.3333,Québec,14.0
1989-08-11,,,
1989-08-12,3.0769,VT,24.0
1989-08-13,,,
1989-08-17,2.8182,VT,27.0
1989-08-18,,,
1989-08-19,3.0,NH,26.0
1989-08-23,,,
1989-08-25,,,
1989-08-26,4.4935,VT,25.0
1989-09-01,,,
1989-09-02,,,
1989-09-06,,,
1989-09-07,,,
1989-09-08,,,
1989-09-09,3.0909,VT,21.0
1989-09-13,,,
1989-09-14,1.2222,MA,11.0
1989-09-16,1.0,ME,2.0
1989-09-20,,,
1989-09-21,3.0,MA,21.0
1989-10-01,4.0,VT,26.0
1989-10-06,1.6667,MA,14.0
1989-10-07,3.0,ME,23.0
1989-10-10,2.2,VT,15.0
1989-10-12,4.0,NH,16.0
1989-10-13,1.0,NY,12.0
1989-10-14,3.1111,NY,17.0
1989-10-20,3.625,VT,22.0
1989-10-21,2.6667,VT,21.0
1989-10-22,2.8182,VT,27.0
1989-10-26,4.1,NY,26.0
1989-10-28,3.5,NY,10.0
1989-10-31,3.7895,VT,23.0
1989-11-02,3.5,NH,22.0
1989-11-03,3.0833,ME,16.0
1989-11-04,,,
1989-11-09,2.4615,MA,19.0
1989-11-10,3.0833,NY,26.0
1989-11-11,1.8,VT,8.0
1989-11-16,1.8889,MA,15.0
1989-11-18,1.0,PA,11.0
1989-11-30,3.2308,MA,24.0
1989-12-01,3.1111,MA,23.0
1989-12-02,,,
1989-12-03,2.2857,VT,25.0
1989-12-04,,,
1989-12-06,,,
1989-12-07,3.375,MD,24.0
1989-12-08,2.7692,VT,20.0
1989-12-09,2.8571,VT,22.0
1989-12-15,3.2308,NY,18.0
1989-12-16,2.2222,VT,10.0
1989-12-29,2.4,PA,10.0
1989-12-30,3.0,NY,15.0
1989-12-31,3.0,MA,19.0
1990-01-02,,,
1990-01-13,,,
1990-01-19,,,
1990-01-20,3.3684,NH,20.0
1990-01-25,2.2,ME,23.0
1990-01-26,3.1538,ME,15.0
1990-01-27,3.1429,VT,21.0
1990-01-28,3.9412,VT,21.0
1990-01-29,2.5,NY,10.0
1990-01-31,,,
1990-02-01,2.4444,GA,12.0
1990-02-02,,,
1990-02-03,3.5,GA,3.0
1990-02-04,,,
1990-02-05,2.8,SC,13.0
1990-02-07,,,
1990-02-08,3.6667,VA,9.0
1990-02-09,3.1667,PA,24.0
1990-02-10,2.8462,PA,22.0
1990-02-15,2.2143,RI,16.0
1990-02-16,2.6923,MA,16.0
1990-02-17,3.9231,MA,16.0
1990-02-22,3.0,NH,9.0
1990-02-23,3.2,PA,27.0
1990-02-24,2.8182,DC,20.0
1990-02-25,3.6923,MD,17.0
1990-03-01,2.9167,CT,16.0
1990-03-02,3.5,NY,16.0
1990-03-03,3.8571,NY,20.0
1990-03-05,1.0,NY,1.0
1990-03-07,2.4,NH,16.0
1990-03-08,2.1053,NY,24.0
1990-03-09,3.3571,VT,23.0
1990-03-10,2.0,VT,12.0
1990-03-11,3.0,VT,27.0
1990-03-16,,,
1990-03-17,3.1538,PA,17.0
1990-03-27,,,
1990-03-28,3.7368,OH,28.0
1990-03-29,3.0,OH,1.0
1990-03-30,,,
1990-03-31,,,
1990-04-01,,,
1990-04-04,3.3636,CO,20.0
1990-04-05,3.6154,CO,23.0
1990-04-06,2.4,CO,25.0
1990-04-07,2.4444,CO,27.0
1990-04-08,3.2,CO,20.0
1990-04-09,2.75,CO,27.0
1990-04-11,,,
1990-04-12,3.75,CO,23.0
1990-04-13,3.0,CO,20.0
1990-04-14,3.0,CO,21.0
1990-04-18,3.0769,CO,22.0
1990-04-19,3.6667,CO,8.0
1990-04-20,2.7,CO,23.0
1990-04-21,3.0714,CO,20.0
1990-04-22,3.9,CO,23.0
1990-04-24,,,
1990-04-25,2.4167,IN,16.0
1990-04-26,2.7273,OH,21.0
1990-04-28,3.0714,MA,22.0
1990-04-29,4.1667,CT,14.0
1990-05-03,,,
1990-05-04,3.6154,NH,25.0
1990-05-05,,,
1990-05-06,3.9286,CT,15.0
1990-05-07,2.5385,NY,9.0
1990-05-09,1.0,ME,3.0
1990-05-10,3.5455,MA,17.0
1990-05-11,3.5833,RI,18.0
1990-05-12,1.0,VT,1.0
1990-05-13,3.6,VT,22.0
1990-05-15,2.5455,NY,22.0
1990-05-19,2.6667,NH,21.0
1990-05-23,3.0,VA,21.0
1990-05-24,3.3333,NC,21.0
1990-05-25,2.3333,SC,10.0
1990-05-26,,,
1990-05-28,3.3333,SC,0.0
1990-05-30,1.0,NC,21.0
1990-05-31,2.7,GA,14.0
1990-06-01,3.4375,GA,24.0
1990-06-02,2.2,SC,17.0
1990-06-05,3.0,NC,26.0
1990-06-06,3.0,VA,6.0
1990-06-07,2.9,DC,22.0
1990-06-08,2.75,PA,16.0
1990-06-09,3.3571,NY,27.0
1990-06-16,4.0625,VT,35.0
1990-06-17,3.875,MA,22.0
1990-07-08,,,
1990-08-04,3.6667,VT,2.0
1990-09-02,,,
1990-09-13,4.0345,NY,28.0
1990-09-14,3.5294,RI,21.0
1990-09-15,4.1111,NH,24.0
1990-09-16,2.9,CT,15.0
1990-09-17,,,
1990-09-18,,,
1990-09-20,3.9412,MA,25.0
1990-09-21,3.1818,MA,20.0
1990-09-22,4.1667,MA,25.0
1990-09-27,,,
1990-09-28,3.2143,NY,18.0
1990-09-29,2.8571,PA,20.0
1990-09-30,1.0,,2.0
1990-10-01,2.6364,NY,24.0
1990-10-03,3.4,ME,23.0
1990-10-04,3.2941,NH,19.0
1990-10-05,3.2857,NY,24.0
1990-10-06,3.2222,NY,16.0
1990-10-07,3.6842,NJ,23.0
1990-10-08,2.6667,DC,19.0
1990-10-10,3.0,VA,18.0
1990-10-11,2.0,VA,17.0
1990-10-12,3.1818,NC,23.0
1990-10-13,2.3333,SC,21.0
1990-10-14,,,
1990-10-17,3.0,NC,22.0
1990-10-18,3.7778,GA,22.0
1990-10-19,3.5714,GA,18.0
1990-10-20,3.1429,AL,22.0
1990-10-22,3.8,LA,17.0
1990-10-25,3.5714,TX,14.0
1990-10-26,3.5,TX,6.0
1990-10-27,3.1667,TX,23.0
1990-10-30,3.8182,CO,29.0
1990-10-31,4.2083,CO,27.0
1990-11-02,4.3939,CO,25.0
1990-11-03,4.1053,CO,27.0
1990-11-04,4.1786,CO,25.0
1990-11-06,4.1667,MN,18.0
1990-11-08,3.6,WI,22.0
1990-11-09,3.4,IL,8.0
1990-11-10,3.6154,IN,22.0
1990-11-15,2.8182,ME,21.0
1990-11-16,3.6364,RI,21.0
1990-11-17,3.3846,MA,27.0
1990-11-24,3.6667,NY,25.0
1990-11-26,3.7333,NY,26.0
1990-11-28,4.1429,NY,22.0
1990-11-30,3.2,NH,24.0
1990-12-01,3.0,VT,19.0
1990-12-02,3.8,VT,23.0
1990-12-07,3.2857,MA,25.0
1990-12-08,2.4,NY,25.0
1990-12-28,4.1818,NY,26.0
1990-12-29,3.9474,RI,22.0
1990-12-31,3.0,MA,22.0
1991-02-01,3.2381,RI,19.0
1991-02-02,3.125,ME,19.0
1991-02-03,3.6667,VT,21.0
1991-02-04,2.7273,VT,28.0
1991-02-07,3.0625,VT,27.0
1991-02-08,4.1765,NH,24.0
1991-02-09,3.1765,MA,28.0
1991-02-14,3.7333,NY,25.0
1991-02-15,3.25,NH,27.0
1991-02-16,3.2857,NY,28.0
1991-02-19,3.2727,DC,26.0
1991-02-20,2.8,VA,14.0
1991-02-21,2.7857,VA,23.0
1991-02-22,2.7273,NC,12.0
1991-02-23,,,
1991-02-26,3.8,VA,27.0
1991-02-27,3.6667,TN,22.0
1991-02-28,3.3077,TN,24.0
1991-03-01,2.7857,GA,27.0
1991-03-02,,,
1991-03-06,2.0,TN,14.0
1991-03-07,3.8,MS,14.0
1991-03-08,3.9444,AL,13.0
1991-03-09,3.3529,LA,24.0
1991-03-13,3.6818,CO,25.0
1991-03-14,,,
1991-03-15,3.3333,CO,23.0
1991-03-16,3.96,CO,26.0
1991-03-17,3.7917,CO,22.0
1991-03-19,,,
1991-03-22,3.2308,CO,28.0
1991-03-23,3.5,CO,23.0
1991-03-25,,,
1991-03-28,3.0625,CA,18.0
1991-03-29,3.1667,CA,21.0
1991-03-31,4.0,CA,23.0
1991-04-02,3.3077,CA,20.0
1991-04-03,3.3333,OR,23.0
1991-04-04,3.5,OR,26.0
1991-04-05,3.2941,OR,23.0
1991-04-06,3.9655,WA,26.0
1991-04-11,3.5,MN,31.0
1991-04-12,3.8824,WI,22.0
1991-04-13,2.0,IL,15.0
1991-04-15,3.3636,IL,23.0
1991-04-16,3.1111,MI,24.0
1991-04-18,3.4444,OH,21.0
1991-04-19,2.5455,NY,24.0
1991-04-20,3.1667,NY,28.0
1991-04-21,3.2222,NY,24.0
1991-04-22,2.8,VT,23.0
1991-04-25,3.3077,NH,24.0
1991-04-26,3.5,NH,20.0
1991-04-27,3.75,NY,27.0
1991-05-02,3.8824,NY,23.0
1991-05-03,3.7619,MA,23.0
1991-05-04,3.3,MA,23.0
1991-05-09,3.4167,ME,20.0
1991-05-10,3.6875,ME,25.0
1991-05-11,3.1,VT,19.0
1991-05-12,3.7857,VT,25.0
1991-05-16,3.2308,CT,21.0
1991-05-17,4.1579,RI,33.0
1991-05-18,2.8462,NY,23.0
1991-05-19,3.5385,CT,19.0
1991-07-11,4.2195,VT,22.0
1991-07-12,4.5098,NH,30.0
1991-07-13,3.7826,MA,27.0
1991-07-14,4.3333,VT,34.0
1991-07-15,3.3043,NY,19.0
1991-07-16,,,
1991-07-18,3.0667,NH,22.0
1991-07-19,4.2245,MA,20.0
1991-07-20,4.0769,NY,23.0
1991-07-21,4.3636,NY,24.0
1991-07-23,3.95,DC,24.0
1991-07-24,4.1818,VA,22.0
1991-07-25,3.8235,NC,24.0
1991-07-26,4.2273,GA,27.0
1991-07-27,3.5625,GA,19.0
1991-08-03,4.4923,ME,34.0
1991-09-01,1.3333,NJ,0.0
1991-09-25,3.9375,NH,21.0
1991-09-26,3.5625,NY,24.0
1991-09-27,3.8,NY,22.0
1991-09-28,3.8824,NY,25.0
1991-09-29,3.125,OH,22.0
1991-09-30,3.4667,OH,23.0
1991-10-02,2.5455,IL,23.0
1991-10-03,2.5,IL,25.0
1991-10-04,3.3,WI,29.0
1991-10-05,,,
1991-10-06,3.5714,MN,28.0
1991-10-10,3.8571,OR,27.0
1991-10-11,3.2727,WA,21.0
1991-10-12,3.4118,OR,25.0
1991-10-13,4.24,WA,27.0
1991-10-15,3.5625,CA,26.0
1991-10-17,3.1429,CA,21.0
1991-10-18,3.75,CA,24.0
1991-10-19,3.3571,CA,23.0
1991-10-23,2.7778,AZ,24.0
1991-10-24,4.2,AZ,28.0
1991-10-26,3.0,NM,23.0
1991-10-27,3.7222,CO,27.0
1991-10-28,4.0,CO,26.0
1991-10-30,2.625,CO,23.0
1991-10-31,4.0526,CO,27.0
1991-11-01,3.6471,CO,28.0
1991-11-02,3.6429,CO,23.0
1991-11-04,,,
1991-11-05,,,
1991-11-07,4.3333,LA,27.0
1991-11-08,4.3182,AL,27.0
1991-11-09,3.6667,GA,25.0
1991-11-10,2.5714,SC,27.0
1991-11-12,3.25,GA,30.0
1991-11-13,3.9167,NC,25.0
1991-11-14,4.0,NC,27.0
1991-11-15,4.2143,VA,30.0
1991-11-16,3.7895,DC,24.0
1991-11-19,3.7,CT,26.0
1991-11-20,3.4118,RI,23.0
1991-11-21,4.1538,MA,25.0
1991-11-22,3.2857,ME,23.0
1991-11-23,3.6429,VT,28.0
1991-11-24,4.2857,NH,20.0
1991-11-30,4.2,NY,23.0
1991-12-04,2.75,NY,26.0
1991-12-05,2.9231,MA,25.0
1991-12-06,3.0625,VT,26.0
1991-12-07,3.8333,NH,23.0
1991-12-31,4.4375,MA,30.0
1992-01-14,1.9167,VT,12.0
1992-03-06,4.234,NH,21.0
1992-03-07,4.0741,NH,26.0
1992-03-11,2.7917,NH,27.0
1992-03-12,3.15,VT,27.0
1992-03-13,4.4706,RI,29.0
1992-03-14,3.7838,NY,27.0
1992-03-17,3.45,DC,26.0
1992-03-19,3.6818,CT,27.0
1992-03-20,4.4737,NY,27.0
1992-03-21,3.6923,PA,27.0
1992-03-22,2.3077,WV,4.0
1992-03-24,4.0303,VA,28.0
1992-03-25,3.4091,VA,26.0
1992-03-26,3.96,NC,28.0
1992-03-27,3.2857,NC,27.0
1992-03-28,3.6538,GA,18.0
1992-03-30,3.6842,MO,29.0
1992-03-31,3.5,MO,27.0
1992-04-01,2.9231,KS,29.0
1992-04-03,3.6111,CO,21.0
1992-04-04,3.25,CO,27.0
1992-04-05,3.5667,CO,27.0
1992-04-06,4.1333,CO,26.0
1992-04-07,3.6316,CO,27.0
1992-04-08,3.7143,NM,30.0
1992-04-12,3.1333,AZ,26.0
1992-04-13,3.6667,AZ,26.0
1992-04-15,3.3846,CA,24.0
1992-04-16,4.4902,CA,29.0
1992-04-17,4.4091,CA,24.0
1992-04-18,4.4545,CA,34.0
1992-04-19,4.0909,CA,28.0
1992-04-21,4.4833,CA,30.0
1992-04-22,3.6667,OR,29.0
1992-04-23,2.875,WA,28.0
1992-04-24,3.92,OR,29.0
1992-04-25,3.8421,WA,27.0
1992-04-29,3.3529,MN,27.0
1992-04-30,4.1333,WI,25.0
1992-05-01,3.25,WI,30.0
1992-05-02,3.5909,IL,26.0
1992-05-03,3.2,MI,30.0
1992-05-05,3.3333,OH,29.0
1992-05-06,4.2857,MI,27.0
1992-05-07,3.1875,OH,27.0
1992-05-08,3.9231,NY,27.0
1992-05-09,3.96,NY,23.0
1992-05-10,3.1176,MA,10.0
1992-05-12,3.0,NY,24.0
1992-05-14,4.2692,NY,33.0
1992-05-15,1.5,NY,13.0
1992-05-16,3.2105,MA,28.0
1992-05-17,4.431,NY,26.0
1992-05-18,3.3571,VT,26.0
1992-06-19,3.0833,,7.0
1992-06-20,2.3846,,10.0
1992-06-23,2.8,,8.0
1992-06-24,2.3333,,9.0
1992-06-28,3.1667,,12.0
1992-06-30,1.25,,6.0
1992-07-01,1.25,,7.0
1992-07-03,2.0,,10.0
1992-07-09,3.2857,ME,14.0
1992-07-10,2.1,NY,12.0
1992-07-11,2.75,NJ,11.0
1992-07-12,3.0,NY,11.0
1992-07-14,2.0556,VA,24.0
1992-07-15,4.2083,VA,24.0
1992-07-16,3.8,VA,26.0
1992-07-17,2.8889,MD,7.0
1992-07-18,2.5,PA,6.0
1992-07-19,2.8571,NJ,5.0
1992-07-21,3.5882,MA,7.0
1992-07-22,2.3333,NH,7.0
1992-07-23,3.25,NY,10.0
1992-07-24,4.0,NY,6.0
1992-07-25,4.3962,VT,8.0
1992-07-26,3.125,NY,7.0
1992-07-27,3.0,NY,8.0
1992-07-28,2.0,NY,6.0
1992-07-30,2.1111,MI,8.0
1992-07-31,3.0,OH,6.0
1992-08-01,3.4286,IL,8.0
1992-08-02,2.8333,MO,9.0
1992-08-13,3.1333,CA,3.0
1992-08-14,2.8571,CA,5.0
1992-08-15,3.1333,CA,5.0
1992-08-17,4.04,CA,26.0
1992-08-19,2.0,AZ,7.0
1992-08-20,2.6,NM,6.0
1992-08-23,3.0,CO,8.0
1992-08-24,3.625,CO,7.0
1992-08-25,2.375,NM,7.0
1992-08-27,2.6667,CA,7.0
1992-08-28,3.2,CA,7.0
1992-08-29,3.4118,CA,5.0
1992-08-30,3.8889,CA,7.0
1992-10-30,3.8696,MA,11.0
1992-11-19,4.4713,VT,30.0
1992-11-20,4.3913,NY,26.0
1992-11-21,4.1212,NY,30.0
1992-11-22,4.3158,NY,25.0
1992-11-23,4.0833,NY,30.0
1992-11-25,3.619,PA,25.0
1992-11-27,4.3,NY,26.0
1992-11-28,4.2703,NY,27.0
1992-11-30,3.6,PA,25.0
1992-12-01,3.907,OH,27.0
1992-12-02,3.3571,OH,25.0
1992-12-03,4.0952,OH,28.0
1992-12-04,3.8182,MO,25.0
1992-12-05,4.3077,IL,29.0
1992-12-06,4.1364,IL,26.0
1992-12-07,3.8,MN,27.0
1992-12-08,3.1333,WI,29.0
1992-12-10,3.6471,MI,28.0
1992-12-11,4.0,MI,27.0
1992-12-12,4.4545,Ontario,25.0
1992-12-13,3.7895,Québec,29.0
1992-12-28,3.7647,CT,24.0
1992-12-29,4.16,CT,32.0
1992-12-30,4.3143,MA,30.0
1992-12-31,4.3684,MA,32.0
1993-01-28,4.2,MA,1.0
1993-02-03,4.2564,ME,27.0
1993-02-04,3.7368,RI,28.0
1993-02-05,3.92,NY,26.0
1993-02-06,3.8333,NY,27.0
1993-02-07,3.9333,DC,26.0
1993-02-09,3.48,NY,25.0
1993-02-10,3.05,NY,27.0
1993-02-11,3.3333,PA,26.0
1993-02-12,4.3256,NY,26.0
1993-02-13,3.6071,DE,25.0
1993-02-15,3.3125,NC,27.0
1993-02-17,3.2778,NC,26.0
1993-02-18,3.9615,TN,22.0
1993-02-19,4.2963,GA,28.0
1993-02-20,4.5093,GA,37.0
1993-02-21,4.1857,GA,26.0
1993-02-22,3.069,FL,27.0
1993-02-23,3.4091,FL,28.0
1993-02-25,3.8966,FL,26.0
1993-02-26,3.5714,FL,25.0
1993-02-27,3.4231,FL,27.0
1993-03-02,3.88,LA,29.0
1993-03-03,3.6,LA,26.0
1993-03-05,4.0,TX,27.0
1993-03-06,3.2105,TX,24.0
1993-03-08,3.7,NM,26.0
1993-03-09,4.1613,CO,29.0
1993-03-12,3.9032,CO,26.0
1993-03-13,4.1667,CO,29.0
1993-03-14,4.3214,CO,25.0
1993-03-16,3.4545,AZ,33.0
1993-03-17,3.4231,CA,27.0
1993-03-18,3.6,CA,24.0
1993-03-19,3.9231,CA,23.0
1993-03-21,3.4839,CA,28.0
1993-03-22,4.5,CA,25.0
1993-03-24,3.6,CA,29.0
1993-03-25,4.1,CA,28.0
1993-03-26,3.8077,CA,25.0
1993-03-27,4.2353,CA,28.0
1993-03-28,4.1471,CA,26.0
1993-03-30,4.3333,OR,30.0
1993-03-31,3.8077,OR,22.0
1993-04-01,3.8333,OR,24.0
1993-04-02,3.52,WA,27.0
1993-04-03,4.2593,British Columbia,23.0
1993-04-05,3.3529,WA,23.0
1993-04-07,,,
1993-04-09,3.7619,MN,26.0
1993-04-10,3.9167,IL,25.0
1993-04-12,3.7586,IA,27.0
1993-04-13,3.619,KS,25.0
1993-04-14,4.254,MO,27.0
1993-04-16,3.7857,KY,27.0
1993-04-17,4.0909,MI,25.0
1993-04-18,4.125,MI,26.0
1993-04-20,3.8889,OH,26.0
1993-04-21,4.0,OH,24.0
1993-04-22,3.5333,OH,26.0
1993-04-23,3.7742,NY,25.0
1993-04-24,3.2381,NY,25.0
1993-04-25,4.12,NY,25.0
1993-04-27,3.7368,Ontario,25.0
1993-04-29,4.1034,Québec,27.0
1993-04-30,3.1,CT,27.0
1993-05-01,3.6471,PA,23.0
1993-05-02,3.6774,PA,25.0
1993-05-03,4.3684,NJ,33.0
1993-05-05,4.4746,NY,24.0
1993-05-06,4.4118,NY,29.0
1993-05-07,3.7857,ME,22.0
1993-05-08,4.5027,NH,31.0
1993-05-29,3.3684,CA,14.0
1993-05-30,3.5789,CA,14.0
1993-07-15,4.0606,NY,23.0
1993-07-16,3.9048,PA,25.0
1993-07-17,3.6667,VA,27.0
1993-07-18,3.7037,PA,23.0
1993-07-19,,,
1993-07-21,2.4545,NY,14.0
1993-07-22,3.1364,VT,23.0
1993-07-23,3.8857,NY,25.0
1993-07-24,4.2,MA,25.0
1993-07-25,4.0682,NJ,25.0
1993-07-27,3.2308,VA,9.0
1993-07-28,3.4615,NC,24.0
1993-07-29,3.3333,TN,22.0
1993-07-30,4.1176,TN,22.0
1993-07-31,3.8125,GA,23.0
